word,farsnet_word,sense_frequency
خط,خط,28
برداشتن,برداشتن,25
سر,سر,24
گرفتن,گرفتن,23
جا,جا,20
زدن,زدن,19
بار,بار,19
کشیدن,کشیدن,19
کار,کار,18
دست,دست,17
دم,دم,16
طرح,طرح,15
خوردن,خوردن,14
بخش,بخش,14
راه,راه,14
درجه,درجه,14
دوره,دوره,14
شیر,شیر,13
پشت,پشت,13
بند,بند,13
ارام,آرام,12
اب,آب,12
رسیدن,رسیدن,12
چیز,چیز,12
انداختن,انداختن,12
زبان,زبان,12
دسته,دسته,12
گاز,گاز,11
ارتباط,ارتباط,11
حساب,حساب,11
جهان,جهان,11
جز,جزئ,11
سرویس,سرویس,11
کرم,کرم,11
واحد,واحد,11
پریدن,پریدن,11
اثر,اثر,11
گذشتن,گذشتن,11
پذیرفتن,پذیرفتن,11
بستن,بستن,11
رشته,رشته,11
میدان,میدان,11
نگهداشتن,نگه‌داشتن,11
گل,گل,11
دنیا,دنیا,11
خواستن,خواستن,10
شانه,شانه,10
ساختن,ساختن,10
پیوند,پیوند,10
خواندن,خواندن,10
ایستادن,ایستادن,10
ردکردن,رد کردن,10
بازی,بازی,10
خانه,خانه,10
پایه,پایه,10
مهر,مهر,10
دل,دل,10
میزان,میزان,10
برگرداندن,برگرداندن,10
نتیجه,نتیجه,10
جمعکردن,جمع کردن,10
نمونه,نمونه,10
مغز,مغز,10
دور,دور,9
زندگی,زندگی,9
بزرگ,بزرگ,9
سال,سال,9
زیر,زیر,9
زمین,زمین,9
انقلاب,انقلاب,9
کندن,کندن,9
کنترل,کنترل,9
کف,کف,9
خیر,خیر,9
ساعت,ساعت,9
گشتن,گشتن,9
مثبت,مثبت,9
زمان,زمان,9
بردن,بردن,9
پرده,پرده,9
برپاکردن,برپا کردن,9
رفتن,رفتن,9
سایه,سایه,9
شکستن,شکستن,9
روز,روز,9
فهمیدن,فهمیدن,9
نظر,نظر,9
سرباز,سرباز,9
گروه,گروه,9
سهم,سهم,9
تار,تار,9
صورت,صورت,9
عملکردن,عمل کردن,8
سبک,سبک,8
گذشته,گذشته,8
عمل,عمل,8
صافکردن,صاف کردن,8
موقعیت,موقعیت,8
پا,پا,8
جایگاه,جایگاه,8
موضوع,موضوع,8
مرکز,مرکز,8
ماده,ماده,8
نیرو,نیرو,8
سطح,سطح,8
قسمت,قسمت,8
بودن,بودن,8
پست,پست,8
پاککردن,پاک کردن,8
سیاست,سیاست,8
صحنه,صحنه,8
بهوجوداوردن,به وجود آوردن,8
گرده,گرده,8
خواباندن,خواباندن,8
عشق,عشق,8
سوختن,سوختن,8
ماندن,ماندن,8
کارکردن,کار کردن,8
قرار,قرار,8
دلیل,دلیل,8
عالم,عالم,8
رشد,رشد,8
ترک,ترک,8
طرف,طرف,8
ادم,آدم,8
امر,آمر,8
جامعه,جامعه,8
حکم,حکم,8
اخر,آخر,8
سمت,سمت,8
محل,محل,8
جمع,جمع,8
درهم,درهم,8
تن,تن,8
کمک,کمک,8
حال,حال,8
دفتر,دفتر,8
کل,کل,8
بازار,بازار,8
رابطه,رابطه,8
روی,روی,8
نقطه,نقطه,8
راست,راست,8
ریال,ریال,8
جریان,جریان,8
مستقیم,مستقیم,8
شاهد,شاهد,8
حاشیه,حاشیه,8
شکل,شکل,8
دین,دین,8
دستی,دستی,8
اصل,اصل,8
انتقالدادن,انتقال دادن,7
کره,کره,7
تیر,تیر,7
بعد,بعد,7
اوردن,آوردن,7
درستکردن,درست کردن,7
پزو,پزو,7
بازکردن,باز کردن,7
شیری,شیری,7
منبع,منبع,7
تبدیل,تبدیل,7
جابهجایی,جابه‌جایی,7
صدا,صدا,7
چین,چین,7
فضا,فضا,7
ساده,ساده,7
جهت,جهت,7
خراب,خراب,7
سیر,سیر,7
خاک,خاک,7
نماینده,نماینده,7
دینار,دینار,7
قانون,قانون,7
شماره,شماره,7
انجامدادن,انجام دادن,7
هییت,هیئت,7
تاریخ,تاریخ,7
نوشتن,نوشتن,7
محور,محور,7
نقش,نقش,7
بسته,بسته,7
پدر,پدر,7
اصلاحکردن,اصلاح کردن,7
خالیکردن,خالی‌کردن,7
صفحه,صفحه,7
خارجکردن,خارج کردن,7
سالم,سالم,7
ضعیف,ضعیف,7
توان,توان,7
اهنگ,آهنگ,7
خوب,خوب,7
مقام,مقام,7
خان,خان,7
گذراندن,گذراندن,7
شیلینگ,شیلینگ,7
رو,رو,7
حق,حق,7
برخورد,برخورد,7
تند,تند,7
در,در,7
اول,اول,7
رسیدگی,رسیدگی,7
شتری,شتری,7
جمعشدن,جمع شدن,7
حامی,حامی,7
ابشدن,آب شدن,7
جداشدن,جدا شدن,7
شاسی,شاسی,7
دارایی,دارایی,7
باز,باز,7
حد,حد,7
جداکردن,جداکردن,7
رای,رای,7
دادن,دادن,7
نسبت,نسبت,7
برنامه,برنامه,7
عطف,عطف,7
نشستن,نشستن,7
صرف,صرف,7
ترکیب,ترکیب,7
جان,جان,7
میل,میل,7
پول,پول,7
گیره,گیره,7
نفتی,نفتی,7
رسیدگیکردن,رسیدگی کردن,7
عامل,عامل,7
سلام,سلام,7
نمایش,نمایش,6
خاکی,خاکی,6
سوزاندن,سوزاندن,6
پخشکردن,پخش کردن,6
تور,تور,6
خزانه,خزانه,6
طول,طول,6
سو,سو,6
خبر,خبر,6
خرد,خرد,6
وقت,وقت,6
نهاد,نهاد,6
چنگال,چنگال,6
اینده,آینده,6
جاانداختن,جا انداختن,6
خرابکردن,خراب کردن,6
گرم,گرم,6
جلودار,جلودار,6
کلید,کلید,6
ازبینرفتن,از بین رفتن,6
پرداختن,پرداختن,6
لب,لب,6
حفظکردن,حفظ کردن,6
نرم,نرم,6
ستاره,ستاره,6
جذب,جذب,6
جدی,جدی,6
چهره,چهره,6
توجه,توجه,6
صاف,صاف,6
عنوان,عنوان,6
روپیه,روپیه,6
دنبالکردن,دنبال کردن,6
اعتبار,اعتبار,6
رویه,رویه,6
انگاره,انگاره,6
ارتفاع,ارتفاع,6
روشنکردن,روشن‌کردن,6
شناسایی,شناسایی,6
جدول,جدول,6
واگذارکردن,واگذار کردن,6
نشاندن,نشاندن,6
نظام,نظام,6
مجلس,مجلس,6
نشان,نشان,6
کپیکردن,کپی‌کردن,6
ولکردن,ول کردن,6
متوجهشدن,متوجه شدن,6
نقل,نقل,6
وجه,وجه,6
چک,چک,6
سنگین,سنگین,6
محکم,محکم,6
محیط,محیط,6
رییس,رئیس,6
اطلاعات,اطلاعات,6
جام,جام,6
ترتیب,ترتیب,6
عمر,عمر,6
حمله,حمله,6
حمل,حمل,6
کشتی,کشتی,6
گرد,گرد,6
سرمایه,سرمایه,6
ریختن,ریختن,6
دستگاه,دستگاه,6
قبولکردن,قبول کردن,6
انسان,انسان,6
خمار,خمار,6
بالارفتن,بالارفتن,6
پیچیدن,پیچیدن,6
قدر,قدر,6
کانال,کانال,6
پی,پی,6
ساختار,ساختار,6
مسیله,مسئله,6
بد,بد,6
برگشتن,برگشتن,6
تیغ,تیغ,6
هوا,هوا,6
گسترشدادن,گسترش دادن,6
ماه,ماه,6
مورد,مورد,6
بادی,بادی,6
فکرکردن,فکر کردن,6
سکو,سکو,6
برد,برد,6
تکرار,تکرار,6
انباشتن,انباشتن,6
علاقه,علاقه,6
درککردن,درک کردن,6
ظرفیت,ظرفیت,6
قدرت,قدرت,6
ابتدا,ابتدا,6
هدایت,هدایت,6
پیش,پیش,6
شب,شب,6
منطقه,منطقه,6
چرخیدن,چرخیدن,6
خوابیدن,خوابیدن,6
تصویر,تصویر,6
انتها,انتها,6
منفی,منفی,6
خوبی,خوبی,6
علم,علم,6
مسیر,مسیر,6
تمامکردن,تمام کردن,6
بررسیکردن,بررسی کردن,6
شور,شور,6
بستهشدن,بسته شدن,6
خطا,خطا,6
شرکت,شرکت,6
دفاع,دفاع,6
ملک,ملک,6
رد,رد,6
فشار,فشار,6
مدعی,مدعی,6
دستور,دستور,6
سیستم,سیستم,6
تولید,تولید,6
دال,دال,6
فصل,فصل,6
چاپ,چاپ,6
راهانداختن,راه انداختن,6
کوتاه,کوتاه,6
کانون,کانون,6
بنیاد,بنیاد,6
کوته,کوته,6
بنیان,بنیان,6
ردیف,ردیف,6
اجراکردن,اجرا کردن,6
اندازه,اندازه,6
اتش,آتش,6
ثابت,ثابت,6
عصر,عصر,6
کاهش,کاهش,6
مرد,مرد,6
درخشیدن,درخشیدن,6
صندوق,صندوق,6
ناراحت,ناراحت,6
ابزار,ابزار,5
حاکم,حاکم,5
کلک,کلک,5
سری,سری,5
شنیدن,شنیدن,5
تیز,تیز,5
شکستخوردن,شکست‌خوردن,5
استفاده,استفاده,5
نظم,نظم,5
نوک,نوک,5
استقامت,استقامت,5
دراوردن,درآوردن,5
گند,گند,5
بینظمی,بی‌نظمی,5
حالت,حالت,5
دورکردن,دور کردن,5
شان,شان,5
سرور,سرور,5
تشخیص,تشخیص,5
مرگ,مرگ,5
روش,روش,5
کوبیدن,کوبیدن,5
ارایهکردن,ارایه کردن,5
فرمان,فرمان,5
مجموعه,مجموعه,5
حسابی,حسابی,5
صفر,صفر,5
دام,دام,5
سست,سست,5
روشن,روشن,5
اشتباه,اشتباه,5
پوسته,پوسته,5
نشانه,نشانه,5
سفید,سس سفید,5
شکار,شکار,5
ردشدن,رد شدن,5
داغ,داغ,5
نشاندادن,نشان دادن,5
ارایهدادن,ارایه دادن,5
ارایه,ارائه,5
شکارچی,شکارچی,5
فکر,فکر,5
استقبال,استقبال,5
جداساختن,جدا ساختن,5
کم,کم,5
گام,گام,5
فرازاوردن,فراز آوردن,5
فیلم,فیلم,5
کناره,کناره,5
دامنه,دامنه,5
پوشاندن,پوشاندن,5
یکسر,یکسر,5
زنگ,زنگ,5
بال,بال,5
ازادی,آزادی,5
صادرکردن,صادر کردن,5
سربراوردن,سربرآوردن,5
تجاوزکردن,تجاوز کردن,5
وظیفه,وظیفه,5
سخت,سخت,5
وضع,وضع,5
گوشه,گوشه,5
دستبهنقد,دست‌به‌نقد,5
ساخت,ساخت,5
عوضکردن,عوض کردن,5
جستجوکردن,جستجو کردن,5
جستن,جستن,5
جنگ,جنگ,5
سرخشدن,سرخ شدن,5
گونه,گونه,5
ازاد,آزاد,5
تناسب,تناسب,5
سابقه,سابقه,5
دکوراسیون,دکوراسیون,5
فرد,فرد,5
شبکه,شبکه,5
جلو,جلو,5
سختی,سختی,5
دوران,دوران,5
تخت,تخت,5
جفت,جفت,5
ضبطکردن,ضبط کردن,5
گوشی,گوشی,5
نوبت,نوبت,5
فرهنگ,فرهنگ,5
تخریب,تخریب,5
نور,نور,5
هسته,هسته,5
فن,فن,5
دودی,دودی,5
کارگر,کارگر,5
شخصیت,شخصیت,5
ازبینبردن,از بین بردن,5
اباد,آباد,5
پیشرو,پیش‌رو,5
راندن,راندن,5
انتشار,انتشار,5
ابرو,آبرو,5
سازمان,سازمان,5
مهره,مهره,5
بالاکشیدن,بالا کشیدن,5
تاباندن,تاباندن,5
نقاش,نقاش,5
بالازدن,بالا زدن,5
بانک,بانک,5
حاصل,حاصل,5
حاضر,حاضر,5
انرژی,انرژی,5
جرم,جرم,5
مشقت,مشقت,5
بچه,بچه,5
انتقال,انتقال,5
ضربی,ضربی,5
جو,جو,5
دریده,دریده,5
لخت,لخت,5
ذخیره,ذخیره,5
منتقلشدن,منتقل شدن,5
تاییدکردن,تایید کردن,5
مسیول,مسئول,5
کاشتن,کاشتن,5
ضرورت,ضرورت,5
مثل,مثل,5
عضو,عضو,5
باقیمانده,باقی‌مانده,5
نوشته,نوشته,5
ویژگی,ویژگی,5
ذکر,ذکر,5
اضافه,اضافه,5
تمامشدن,تمام شدن,5
کرون,کرون,5
تسلیم,تسلیم,5
خنثی,خنثی,5
قطعکردن,قطع کردن,5
جادادن,جا دادن,5
قبضه,قبضه,5
زنجیره,زنجیره,5
استقلال,استقلال,5
خلاف,خلاف,5
مفهوم,مفهوم,5
پسوپیش,پس‌وپیش,5
مربی,مربی,5
پاک,پاک,5
خاموش,خاموش,5
گستردن,گستردن,5
بلندشدن,بلند شدن,5
نابودی,نابودی,5
تنگشدن,تنگ شدن,5
بلندی,بلندی,5
سه,سه,5
جابهجا,جا‌به‌جا,5
گرفتگی,گرفتگی,5
تکه,تکه,5
قلم,قلم,5
سن,سن,5
مقاومت,مقاومت,5
تعریف,تعریف,5
برگشت,برگشت,5
بورس,بورس,5
گردش,گردش,5
اتشدان,آتشدان,5
باب,باب,5
فرستادن,فرستادن,5
دیدن,دیدن,5
رفتار,رفتار,5
حیرت,حیرت,5
اقا,آقا,5
ساکت,ساکت,5
کتابخانه,کتاب‌خانه,5
سنجیدن,سنجیدن,5
پایین,پایین,5
خارجی,خارجی,5
پایداری,پایداری,5
خارج,خارج,5
سیرکردن,سیر کردن,5
خضاب,خضاب,5
سودا,سودا,5
پرداخت,پرداخت,5
کرسی,کرسی,5
واداشتن,واداشتن,5
هفته,هفته,5
خشک,خشک,5
روان,روان,5
ته,ته,5
عسلی,عسلی,5
گزارش,گزارش,5
کارت,کارت,5
ثبتکردن,ثبت کردن,5
پرسشگر,پرسشگر,5
مدرک,مدرک,5
قرارداد,قرارداد,5
قرص,قرص,5
خز,خز,5
خشن,خشن,5
سوراخ,سوراخ,5
جاافتادن,جا افتادن,5
خدمت,خدمت,5
جابازکردن,جا بازکردن,5
پر,پر,5
الودهکردن,آلوده کردن,5
ناحیه,ناحیه,5
خدمتکردن,خدمت کردن,5
مد,مد,5
بلندکردن,بلند کردن,5
پذیرش,پذیرش,5
کند,کند,5
مدار,مدار,5
بهره,بهره,5
بن,بن,5
استاد,استاد,5
سوم,سوم,5
خرابشدن,خراب شدن,5
خطر,خطر,5
طراحی,طراحی,5
محرم,محرم,5
برعکس,برعکس,5
مشکل,مشکل,5
بیرونکردن,بیرون کردن,5
بیروندادن,بیرون دادن,5
پارک,پارک,5
داده,داده,5
صبح,صبح,5
حلقه,حلقه,5
برق,برق,5
عملیات,عملیات,5
امدن,آمدن,5
حضور,حضور,5
حلکردن,حل‌کردن,5
افتادن,افتادن,5
گران,گران,5
حفره,حفره,5
مولود,مولود,5
مانع,مانع,5
چهارپاره,چهارپاره,5
دیر,دیر,5
ابی,آبی,5
هوشیار,هوشیار,5
رسمی,رسمی,5
تعیینکردن,تعیین کردن,5
تنظیمکردن,تنظیم کردن,5
تک,تک,5
طراحیکردن,طراحی کردن,5
گذاشتن,گذاشتن,5
بررسی,بررسی,5
ترکمن,ترکمن,5
افت,آفت,5
جاگذاشتن,جا گذاشتن,5
ترکیبکردن,ترکیب کردن,5
ترککردن,ترک کردن,5
علامت,علامت,5
شیوه,شیوه,5
بیان,بیان,5
سپردن,سپردن,5
نیمه,نیمه,5
ایجادکردن,ایجاد کردن,5
سم,سم,5
پایان,پایان,5
حسکردن,حس کردن,5
امتیازدادن,امتیاز دادن,5
کشتن,کشتن,5
جایگه,جایگه,5
پهن,پهن,5
امتیاز,امتیاز,5
میزبان,میزبان,5
محافظ,محافظ,5
گبر,گبر,5
رضا,رضا,5
دوشیزه,دوشیزه,5
اشراق,اشراق,4
مالکی,مالکی,4
ورق,ورق,4
واگذارنمودن,واگذارنمودن,4
تشریفاتی,تشریفاتی,4
ترسیدن,ترسیدن,4
تخلیهکردن,تخلیه کردن,4
مالک,مالک,4
تخم,تخم,4
واردشدن,وارد شدن,4
تردست,تردست,4
هوشیاری,هوشیاری,4
سازه,سازه,4
تشریفات,تشریفات,4
کنار,کنار,4
همانند,همانند,4
لیسانس,لیسانس,4
لیمو,لیمو,4
ساکنشدن,ساکن شدن,4
هواگرفتن,هوا گرفتن,4
تست,تست,4
واسطه,واسطه,4
اسیب,آسیب,4
تعریفکردن,تعریف کردن,4
غواص,غواص,4
سترونکردن,سترون کردن,4
ترتیبدادن,ترتیب دادن,4
سالسا,سالسا,4
ساکتشدن,ساکت شدن,4
تربیت,تربیت,4
تمام,تمام,4
همخوان,همخوان,4
تصویبکردن,تصویب کردن,4
تضمین,تضمین,4
کمان,کمان,4
اسمان,آسمان,4
صرفکردن,صرف کردن,4
تقسیمکردن,تقسیم کردن,4
همراه,همراه,4
استوار,استوار,4
واقعیت,واقعیت,4
اشتیاق,اشتیاق,4
صحبتکردن,صحبت کردن,4
هنر,هنر,4
ساکن,ساکن,4
سبب,سبب,4
تصدیقکردن,تصدیق کردن,4
ساییدن,ساییدن,4
اشتغال,اشتغال,4
لودگی,لودگی,4
تعهد,تعهد,4
تمثیل,تمثیل,4
کمی,کمی,4
تنظیم,تنظیم,4
کلیشهسازی,کلیشه‌سازی,4
صامت,صامت,4
ترازو,ترازو,4
وحشتناک,وحشتناک,4
تریاکی,تریاکی,4
تصادفی,تصادفی,4
تصدیقداشتن,تصدیق داشتن,4
مالیدن,مالیدن,4
تقدیر,تقدیر,4
سنگچین,سنگ‌چین,4
ورود,ورود,4
بر,بر,4
اموزش,آموزش,4
برایت,برائت,4
براندازکردن,براندازکردن,4
برابر,برابر,4
امید,امید,4
پوشیده,پوشیده,4
بدهبستان,بده‌بستان,4
سیه,سیه,4
فر,فر,4
برداشت,برداشت,4
برش,برش,4
فتوکپی,فتوکپی,4
امل,امل,4
برخوردکردن,برخورد کردن,4
سینا,سینا,4
سینه,سینه,4
فراش,فراش,4
بحث,بحث,4
پیشامدن,پیش آمدن,4
انباشتهکردن,انباشته کردن,4
فرازکردن,فراز کردن,4
انتخاب,انتخاب,4
پیشقراول,پیش‌قراول,4
انتخابکردن,انتخاب کردن,4
فرازامدن,فراز آمدن,4
شاخه,شاخه,4
امین,آمین,4
پیاده,پیاده,4
بدر,بدر,4
ان,آن,4
کامل,کامل,4
فراری,فراری,4
سیما,سیما,4
سیاه,سیاه,4
قبولی,قبولی,4
پزشکی,پزشکی,4
بشر,بشر,4
فانتزی,فانتزی,4
الکی,الکی,4
سیاهشدن,سیاه شدن,4
بست,بست,4
اماده,آماده,4
الوده,آلوده,4
بنا,بنا,4
قدم,قدم,4
بلوک,بلوک,4
الودن,آلودن,4
الودهساختن,آلوده ساختن,4
کثیف,کثیف,4
بلند,بلند,4
پرکننده,پرکننده,4
بره,بره,4
برگه,برگه,4
پشتیبانی,پشتیبانی,4
کت,کت,4
برگ,برگ,4
بریدن,بریدن,4
پسندیدن,پسندیدن,4
کبابی,کبابی,4
برنده,برنده,4
سیل,سیل,4
امام,امام,4
سیاهکردن,سیاه کردن,4
امادهکردن,آماده کردن,4
بزرگی,بزرگی,4
قایم,قائم,4
پشتیبان,پشتیبان,4
شاه,شاه,4
فرصت,فرصت,4
شعر,شعر,4
اژانس,آژانس,4
فشرده,فشرده,4
انفعال,انفعال,4
اکثریت,اکثریت,4
اپاچی,آپاچی,4
ایین,آیین,4
چنگزدن,چنگ زدن,4
چرخش,چرخش,4
اگاهانه,آگاهانه,4
انسانی,انسانی,4
فعالیت,فعالیت,4
فعال,فعال,4
شش,شش,4
چسبیدن,چسبیدن,4
چشمبسته,چشم‌بسته,4
ایمپلنت,ایمپلنت,4
چپ,چپ,4
فرونشاندن,فرونشاندن,4
چینی,چینی,4
اولتیر,اول تیر,4
اوج,آوج,4
چکیده,چکیده,4
اهلیت,اهلیت,4
اهسته,آهسته,4
اویزه,آویزه,4
چهارشهریور,چهار شهریور,4
چهارمشهریور,چهارم شهریور,4
شمردن,شمردن,4
چهل,چهل,4
ایجادشدن,ایجاد شدن,4
شناختن,شناختن,4
شناور,شناور,4
شبرنگ,شبرنگ,4
فراهمکردن,فراهم کردن,4
شبانه,شبانه,4
پیچ,پیچ,4
پیچاندن,پیچاندن,4
فوت,فوت,4
پیکان,پیکان,4
بازگشت,بازگشت,4
بافت,بافت,4
چرخاندن,چرخاندن,4
بالابردن,بالا بردن,4
بامداد,بامداد,4
انتظار,انتظار,4
پیله,پیله,4
بالا,بالا,4
شایسته,شایسته,4
شایستگی,شایستگی,4
شبیه,شبیه,4
بادامی,بادامی,4
اندیشه,اندیشه,4
شدید,شدید,4
بادکردن,باد کردن,4
شروع,شروع,4
کارشناسی,کارشناسی,4
چرت,چرت,4
شدت,شدت,4
فراگرفتن,فراگرفتن,4
بازوبند,بازوبند,4
فندقی,فندقی,4
بازرسی,بازرسی,4
فناوری,فناوری,4
بازدارنده,بازدارنده,4
کارگاه,کارگاه,4
الو,آلو,4
یکتیر,یک تیر,4
بیمه,بیمه,4
بیمزه,بی‌مزه,4
یک,یک,4
